Brand,SKU,Paint Name,Paint Class,Size,Count,Color
AMMO,A.MIG-0618,Chipping,DIO Drybrush,40 ml,1,#B0B0A0
AMMO,A.MIG-0621,Light Metal,DIO Drybrush,40 ml,1,#C8D0D4
AMMO,A.MIG-0622,Gun Metal,DIO Drybrush,40 ml,1,#505860
AMMO,A.MIG-0623,Brass,DIO Drybrush,40 ml,1,#C09040
Army Painter,AW1101,Matt Black,Air,18 ml,1,#101010
Army Painter,AW1102,Matt White,Air,18 ml,1,#F5F5F5
Army Painter,AW1104,Pure Red,Air,18 ml,1,#CC1010
Army Painter,AW1105,Dragon Red,Air,18 ml,1,#A01818
Army Painter,AW1106,Lava Orange,Air,18 ml,1,#E06000
Army Painter,AW1107,Daemonic Yellow,Air,18 ml,1,#E8B800
Army Painter,AW1108,Necrotic Flesh,Air,18 ml,1,#9EA87A
Army Painter,AW1111,Greenskin,Air,18 ml,1,#177135
Army Painter,AW1112,Angel Green,Air,18 ml,1,#3AAA50
Army Painter,AW1114,Crystal Blue,Air,18 ml,1,#0070B8
Army Painter,AW1115,Ultramarine Blue,Air,18 ml,1,#2050A0
Army Painter,AW1118,Uniform Grey,Air,18 ml,1,#6A7080
Army Painter,AW1122,Fur Brown,Air,18 ml,1,#8A5040
Army Painter,AW1123,Leather Brown,Air,18 ml,1,#7A4838
Army Painter,AW1124,Oak Brown,Air,18 ml,1,#5A3828
Army Painter,AW1125,Skeleton Bone,Air,18 ml,1,#C0B090
Army Painter,AW1126,Barbarian Flesh,Air,18 ml,1,#E89878
Army Painter,AW1128,Alien Purple,Air,18 ml,1,#6050A0
Army Painter,AW1129,Shining Silver,Air Metallics,18 ml,1,#C8D0D4
Army Painter,AW1130,Plate Mail Metal,Air Metallics,18 ml,1,#9098A4
Army Painter,AW1132,Greedy Gold,Air Metallics,18 ml,1,#C09040
Army Painter,AW1142,Chaotic Red,Air,18 ml,1,#B01010
Army Painter,AW1419,Elemental Bolt,Air,18 ml,1,#8090E0
Army Painter,AW1421,Elven Flesh,Air,18 ml,1,#F0A880
Army Painter,AW1433,Jungle Green,Air,18 ml,1,#208040
Army Painter,AW1438,Moon Dust,Air,18 ml,1,#A0A8B0
Army Painter,AW1447,Pixie Pink,Air,18 ml,1,#E070B0
Army Painter,AW1467,True Copper,Air Metallics,18 ml,1,#C07030
Army Painter,AW1468,Rough Iron,Air Metallics,18 ml,1,#585050
Army Painter,AW1482,Tainted Gold,Air Metallics,18 ml,1,#988030
Army Painter,AW1483,Elven Armor,Air Metallics,18 ml,1,#A0A8B8
